key,creation-date,resolution-date,resolution,type,priority
CLI-36,2002-10-19T16:19:51.000+0000,2007-03-15T16:49:13.000+0000,Fixed,Bug,Major
CLI-35,2003-10-29T01:12:13.000+0000,2007-03-15T16:49:13.000+0000,Fixed,Bug,Minor
CLI-34,2003-02-21T08:17:26.000+0000,2007-03-15T16:49:12.000+0000,Duplicate,Bug,Minor
CLI-33,2002-09-01T00:44:39.000+0000,2007-03-15T16:49:12.000+0000,Fixed,Bug,Major
CLI-32,2006-04-18T15:11:18.000+0000,2006-06-07T02:59:52.000+0000,Fixed,Bug,Major
CLI-31,2004-07-29T04:18:48.000+0000,2007-03-15T16:49:12.000+0000,Fixed,Bug,Major
CLI-30,2003-09-30T19:48:14.000+0000,2006-07-10T13:26:18.000+0000,Fixed,Bug,Major
CLI-29,2002-11-23T06:58:08.000+0000,2007-03-15T16:49:12.000+0000,Fixed,Bug,Major
CLI-28,2004-03-29T02:56:08.000+0000,2007-03-15T16:49:11.000+0000,Fixed,Bug,Major
CLI-27,2005-08-22T17:27:46.000+0000,2007-03-15T16:49:11.000+0000,Duplicate,Bug,Critical
CLI-26,2004-03-13T07:32:42.000+0000,2007-03-15T16:49:11.000+0000,Fixed,Bug,Major
CLI-25,2004-09-02T07:08:30.000+0000,2007-03-15T16:49:11.000+0000,Fixed,Bug,Major
CLI-24,2002-06-18T14:18:58.000+0000,2007-03-15T16:49:11.000+0000,Fixed,Bug,Major
CLI-23,2004-09-10T01:55:46.000+0000,2007-03-15T16:49:11.000+0000,Fixed,Bug,Major
CLI-22,2002-12-24T20:56:24.000+0000,2007-03-15T16:49:11.000+0000,Cannot Reproduce,Bug,Major
CLI-21,2004-07-04T16:57:38.000+0000,2007-06-30T18:18:40.000+0000,Fixed,Bug,Major
CLI-20,2002-12-04T11:41:23.000+0000,2007-03-15T16:49:10.000+0000,Fixed,Bug,Major
CLI-19,2003-07-03T17:37:33.000+0000,2007-03-15T16:49:10.000+0000,Fixed,Bug,Minor
CLI-18,2005-12-20T20:55:21.000+0000,2008-09-15T22:38:20.000+0000,Duplicate,Bug,Major
CLI-17,2003-10-23T15:42:34.000+0000,2007-03-15T16:49:10.000+0000,Fixed,Bug,Major
CLI-16,2003-11-26T23:00:56.000+0000,2007-03-15T16:49:10.000+0000,Duplicate,Bug,Minor
CLI-15,2003-05-08T05:02:41.000+0000,2008-07-25T10:23:34.000+0000,Fixed,Bug,Major
CLI-14,2005-01-12T00:06:15.000+0000,2010-06-15T16:16:21.000+0000,Fixed,Bug,Minor
CLI-13,2005-10-11T02:06:11.000+0000,2007-05-22T17:48:43.000+0000,Fixed,Bug,Major
CLI-12,2005-03-30T06:16:27.000+0000,2006-07-12T13:04:43.000+0000,Fixed,Bug,Major
CLI-11,2002-10-16T02:47:14.000+0000,2007-03-15T16:49:09.000+0000,Fixed,Bug,Major
CLI-10,2006-03-04T03:02:04.000+0000,2007-03-15T16:49:09.000+0000,Fixed,Bug,Major
CLI-9,2004-09-29T21:04:02.000+0000,2010-06-15T16:59:44.000+0000,Fixed,Bug,Major
CLI-8,2003-07-01T16:34:48.000+0000,2008-09-15T22:41:06.000+0000,Fixed,Bug,Major
CLI-7,2005-12-20T22:12:35.000+0000,2007-03-15T16:49:08.000+0000,Fixed,Bug,Trivial
CLI-6,2003-03-05T17:21:15.000+0000,2008-07-24T23:18:22.000+0000,Fixed,Bug,Major
CLI-5,2006-03-04T02:43:35.000+0000,2007-03-15T16:49:08.000+0000,Fixed,Bug,Major
CLI-4,2005-12-20T22:07:08.000+0000,2010-06-15T14:58:57.000+0000,Fixed,Bug,Major
CLI-3,2004-12-05T07:14:32.000+0000,2007-03-15T16:49:08.000+0000,Fixed,Bug,Major
CLI-2,2005-12-08T21:27:15.000+0000,2007-03-15T16:49:08.000+0000,Fixed,Bug,Major
CLI-1,2002-10-24T22:32:22.000+0000,2007-03-15T16:49:08.000+0000,Incomplete,Bug,Major
